image,total_detections,bird,bear,apple,banana,orange,kite,person,teddy bear,car,remote,clock,scissors,vase,dining table
Pinterest ðŸ‡µðŸ‡ª.jpg,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
UYYqo.jpg,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0
depositphotos_425231788-stock-illustration-hand-drawn-set-random-objects.jpg,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
download (1).jpg,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
download (2).jpg,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
download (3).jpg,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
download.jpg,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
gettyimages-173682323-612x612.jpg,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
illustration-of-multiple-objects-D001YY.jpg,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0
images (1).jpg,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1
images (2).jpg,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0
images (3).jpg,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
images.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
